      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
        CS29491-069       57  5103   100  2.45  0.24  0.34 -2.81  0.13  0.18  1.54  0.12  0.22      5.76  0.19  0.25    0.18  0.17  0.27   1  1      5.05  0.11  0.18    0.28  0.15  0.24   7  6      2.64  0.14  0.23   -1.03  0.15  0.25   1  1      3.84  0.12  0.20    0.29  0.15  0.25   9  8      0.37  0.17  0.22    0.00  0.15  0.24   5  4      2.42  0.16  0.21    0.20  0.14  0.23  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.58  0.16  0.24   -0.29  0.15  0.24   3  3      2.01  0.17  0.22   -0.57  0.15  0.23   5  3      4.69  0.13  0.18    0.00  0.14  0.22  55 46      2.28  0.16  0.22    0.16  0.15  0.24   6  5      3.40  0.18  0.26   -0.05  0.16  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.23  0.18  0.27    0.07  0.16  0.27   3  2     -0.57  0.18  0.23    0.00  0.15  0.24   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.34  0.22  0.29    0.34  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.24  0.18  0.23    1.06  0.15  0.24   4  2
        CS29491-109       50  4736   100  1.50  0.24  0.34 -2.90  0.15  0.19  1.82  0.12  0.22      5.30  0.20  0.27   -0.19  0.16  0.27   1  1      4.98  0.12  0.18    0.30  0.15  0.24   7  6      2.74  0.16  0.25   -0.83  0.17  0.30   1  1      3.71  0.11  0.20    0.25  0.15  0.26   9  8      0.25  0.17  0.22   -0.02  0.15  0.23   5  4      2.32  0.15  0.20    0.20  0.15  0.23  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.40  0.15  0.25   -0.37  0.15  0.29   3  3      1.77  0.15  0.21   -0.72  0.15  0.25   5  3      4.60  0.15  0.19    0.00  0.14  0.22  55 51      2.06  0.15  0.22    0.04  0.14  0.25   6  5      3.20  0.17  0.27   -0.15  0.17  0.31   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.31  0.21  0.31   -0.38  0.20  0.33   3  2     -1.19  0.18  0.23   -0.53  0.15  0.23   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.69  0.20  0.24   -0.92  0.16  0.24   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS29497-004       39  5013   100  2.23  0.24  0.34 -2.81  0.13  0.18  1.62  0.13  0.23      5.80  0.19  0.26    0.22  0.18  0.27   1  1      5.08  0.12  0.18    0.31  0.15  0.24   7  6      2.62  0.16  0.25   -1.04  0.17  0.26   1  1      3.83  0.12  0.20    0.28  0.15  0.25   9  6      0.41  0.18  0.22    0.05  0.15  0.24   5  4      2.42  0.16  0.21    0.21  0.14  0.23  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.51  0.18  0.26   -0.35  0.17  0.25   3  2      2.18  0.18  0.24   -0.40  0.16  0.24   5  3      4.69  0.13  0.18    0.00  0.14  0.22  55 42      2.35  0.16  0.22    0.24  0.15  0.24   6  5      3.48  0.19  0.29    0.05  0.18  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.73  0.15  0.22    0.57  0.15  0.24   3  2      0.08  0.18  0.23    0.66  0.16  0.24   6  4      0.73  0.18  0.22    0.94  0.15  0.24   3  1      0.53  0.13  0.19    1.21  0.15  0.22   2  1     -0.43  0.18  0.23    1.21  0.15  0.25   6  5     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -0.02  0.19  0.23    1.29  0.15  0.25   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -0.68  0.18  0.23    1.62  0.15  0.24   4  4
        CS29510-058       38  5108   100  2.32  0.24  0.34 -2.61  0.12  0.18  1.62  0.12  0.22      6.18  0.19  0.25    0.40  0.18  0.27   1  1      5.23  0.12  0.18    0.26  0.15  0.24   7  6      2.86  0.18  0.25   -1.00  0.18  0.27   1  1      4.04  0.11  0.20    0.29  0.15  0.25   9  7      0.48  0.18  0.23   -0.08  0.16  0.25   5  4      2.63  0.16  0.21    0.23  0.15  0.23  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.90  0.17  0.27   -0.16  0.17  0.26   3  3      2.26  0.16  0.22   -0.52  0.15  0.23   5  3      4.89  0.12  0.18    0.00  0.14  0.22  55 43      2.46  0.16  0.22    0.15  0.15  0.24   6  5      3.48  0.19  0.28   -0.16  0.18  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.53  0.17  0.25    0.17  0.16  0.26   3  2     -0.35  0.19  0.23    0.02  0.16  0.25   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.49  0.24  0.30   -0.01  0.21  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS30308-035       32  4806   100  1.78  0.27  0.37 -3.35  0.13  0.18  1.64  0.14  0.24      5.08  0.20  0.27    0.04  0.19  0.29   1  1      4.24  0.13  0.19    0.01  0.15  0.23   7  3      2.10  0.16  0.24   -1.01  0.17  0.26   1  1      3.12  0.12  0.20    0.12  0.15  0.25   9  1     -0.28  0.17  0.22   -0.09  0.16  0.24   5  2      1.67  0.16  0.21    0.00  0.15  0.23  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.78  0.16  0.22   -0.53  0.15  0.23   3  3      1.39  0.17  0.21   -0.64  0.15  0.23   5  3      4.15  0.13  0.18    0.00  0.14  0.22  55 28      1.73  0.16  0.22    0.17  0.15  0.24   6  1      3.15  0.21  0.29    0.26  0.20  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -1.19  0.23  0.31   -0.81  0.21  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS30315-001       37  4565   100  1.14  0.25  0.35 -2.98  0.11  0.17  1.99  0.12  0.22      4.93  0.22  0.28   -0.50  0.21  0.29   1  1      4.99  0.12  0.18    0.38  0.14  0.23   7  5      2.54  0.20  0.29   -0.97  0.22  0.30   1  1      3.65  0.11  0.20    0.25  0.14  0.24   9  7      0.28  0.17  0.22    0.08  0.16  0.25   5  4      2.21  0.16  0.21    0.16  0.16  0.24  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.08  0.16  0.25   -0.62  0.17  0.25   3  3      2.04  0.13  0.20   -0.39  0.15  0.23   5  3      4.53  0.11  0.17    0.00  0.14  0.22  55 51      2.13  0.15  0.22    0.18  0.16  0.25   6  5      3.40  0.20  0.30    0.12  0.20  0.29   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.32  0.17  0.24    0.32  0.17  0.26   3  2     -0.65  0.17  0.22    0.08  0.17  0.26   6  4      0.08  0.17  0.22    0.44  0.17  0.26   3  1     -1.66  0.19  0.24   -0.82  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS30315-029       38  4541   100  1.07  0.25  0.35 -3.33  0.12  0.18  2.06  0.13  0.23      4.63  0.21  0.28   -0.43  0.20  0.29   1  1      4.67  0.12  0.19    0.42  0.15  0.23   7  5      2.54  0.15  0.26   -0.59  0.18  0.29   1  1      3.33  0.12  0.20    0.30  0.15  0.25   9  4     -0.19  0.16  0.21   -0.03  0.15  0.23   5  4      1.87  0.15  0.20    0.18  0.15  0.23  17 11     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.82  0.15  0.22   -0.52  0.15  0.24   3  3      1.21  0.15  0.21   -0.85  0.15  0.23   5  3      4.17  0.12  0.18    0.00  0.14  0.22  55 41      1.67  0.14  0.21    0.08  0.15  0.24   6  4      2.72  0.18  0.27   -0.19  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.55  0.25  0.35   -0.19  0.22  0.33   3  2     -1.31  0.18  0.23   -0.21  0.16  0.25   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.79  0.24  0.32    0.42  0.22  0.30   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -2.10  0.18  0.23    0.72  0.16  0.25   4  3
        CS30337-097       44  4865   100  1.81  0.24  0.34 -2.73  0.13  0.18  1.88  0.12  0.22      5.64  0.20  0.26   -0.02  0.18  0.28   1  1      5.13  0.11  0.18    0.29  0.15  0.23   7  6      3.17  0.16  0.25   -0.57  0.17  0.27   1  1      3.79  0.12  0.20    0.17  0.15  0.25   9  7      0.51  0.17  0.22    0.07  0.15  0.24   5  4      2.40  0.15  0.20    0.11  0.14  0.23  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.58  0.16  0.25   -0.36  0.16  0.25   3  3      2.30  0.12  0.20   -0.36  0.14  0.23   5  3      4.77  0.13  0.18    0.00  0.14  0.22  55 49      2.27  0.13  0.21    0.09  0.14  0.24   6  6      3.35  0.18  0.28   -0.16  0.17  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.09  0.19  0.30   -0.15  0.18  0.29   3  2     -0.89  0.13  0.19   -0.39  0.15  0.23   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.32  0.20  0.25   -0.72  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS30339-041       37  5478   100  2.10  0.26  0.36 -2.20  0.12  0.18  2.23  0.13  0.23      5.77  0.19  0.26   -0.41  0.21  0.30   1  1      5.67  0.11  0.17    0.29  0.15  0.24   7  7      3.20  0.17  0.25   -1.07  0.18  0.27   1  1      4.48  0.12  0.20    0.33  0.15  0.25   9  8      1.12  0.18  0.23    0.15  0.16  0.24   5  4      3.11  0.16  0.21    0.29  0.15  0.23  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.12  0.17  0.24   -0.34  0.16  0.24   3  3      2.64  0.15  0.21   -0.54  0.16  0.23   5  3      5.29  0.12  0.18    0.00  0.14  0.22  55 47      2.78  0.15  0.21    0.07  0.16  0.25   6  5      4.00  0.18  0.26   -0.04  0.17  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.91  0.21  0.31    0.14  0.19  0.29   3  2     -0.11  0.18  0.23   -0.14  0.17  0.24   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.04  0.21  0.27    0.12  0.19  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS30343-063       40  4412   100  0.83  0.25  0.35 -2.95  0.12  0.18  2.26  0.11  0.21      4.75  0.22  0.28   -0.67  0.20  0.28   1  1      5.06  0.12  0.19    0.45  0.15  0.23   7  6      2.84  0.22  0.30   -0.66  0.21  0.29   1  1      3.63  0.11  0.20    0.24  0.14  0.24   9  8      0.19  0.16  0.21   -0.01  0.15  0.24   5  4      2.21  0.14  0.19    0.16  0.14  0.23  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.07  0.29  0.33   -0.63  0.25  0.30   3  3      1.78  0.20  0.24   -0.63  0.18  0.25   5  3      4.53  0.12  0.18    0.00  0.14  0.22  55 51      1.77  0.19  0.25   -0.17  0.17  0.26   6  5      3.45  0.08  0.38    0.17  0.15  0.37   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.05  0.21  0.28   -0.04  0.19  0.28   3  1     -0.79  0.18  0.22   -0.06  0.16  0.25   6  5     -0.11  0.17  0.22    0.27  0.16  0.25   3  1     -1.74  0.21  0.26   -0.90  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS31060-047       30  4749   100  1.55  0.26  0.36 -2.72  0.12  0.18  2.00  0.13  0.23      5.41  0.20  0.27   -0.26  0.20  0.29   1  1      5.11  0.12  0.18    0.25  0.15  0.23   7  5      2.64  0.23  0.30   -1.11  0.23  0.31   1  1      3.76  0.12  0.20    0.12  0.15  0.25   9  5      0.53  0.17  0.22    0.08  0.16  0.25   5  4      2.46  0.16  0.21    0.16  0.15  0.23  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.53  0.18  0.27   -0.42  0.17  0.26   3  3      2.42  0.15  0.20   -0.25  0.15  0.23   5  3      4.78  0.12  0.18    0.00  0.14  0.22  55 43      2.32  0.16  0.23    0.12  0.16  0.25   6  5      3.78  0.23  0.33    0.25  0.22  0.30   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.11  0.22  0.31   -0.13  0.20  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.61  0.19  0.23   -1.02  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS31062-041       37  4915   100  1.83  0.26  0.36 -2.67  0.14  0.19  1.84  0.13  0.23      6.20  0.20  0.26    0.49  0.19  0.29   1  1      5.23  0.12  0.19    0.33  0.16  0.25   5  5      2.94  0.16  0.25   -0.86  0.18  0.28   1  1      3.92  0.12  0.20    0.24  0.15  0.25   5  3      0.66  0.17  0.22    0.17  0.15  0.23   3  2      2.48  0.15  0.20    0.14  0.14  0.22  11 10     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      2.42  0.20  0.29   -0.57  0.19  0.28   1  1      2.08  0.15  0.22   -0.64  0.15  0.23   4  2      4.82  0.14  0.19    0.00  0.14  0.22  35 30      2.24  0.17  0.23   -0.00  0.15  0.25   4  4      3.49  0.21  0.30   -0.08  0.18  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0     -0.10  0.23  0.33   -0.39  0.20  0.30   2  2     -0.95  0.19  0.24   -0.52  0.16  0.24   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.94  0.22  0.27   -0.39  0.18  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0
        CS31072-118       53  4606   100  1.25  0.24  0.34 -3.06  0.12  0.17  2.02  0.12  0.22      4.82  0.21  0.27   -0.50  0.19  0.28   1  1      4.84  0.12  0.19    0.33  0.14  0.23   7  6      2.59  0.14  0.25   -0.81  0.17  0.28   1  1      3.45  0.12  0.20    0.16  0.14  0.24   9  7      0.16  0.17  0.22    0.06  0.15  0.24   5  4      2.28  0.15  0.20    0.32  0.15  0.23  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.14  0.15  0.24   -0.47  0.15  0.25   3  3      1.62  0.14  0.22   -0.71  0.15  0.23   5  3      4.44  0.12  0.17    0.00  0.14  0.22  55 51      1.91  0.15  0.22    0.05  0.15  0.24   6  5      3.37  0.14  0.28    0.19  0.15  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.26  0.22  0.33   -0.17  0.20  0.32   3  2     -1.14  0.18  0.23   -0.32  0.16  0.24   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.97  0.18  0.22   -1.04  0.16  0.24   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS31082-001       90  4922   100  1.90  0.23  0.33 -2.78  0.14  0.19  1.88  0.11  0.21      5.83  0.19  0.26    0.22  0.18  0.28   1  1      5.16  0.10  0.18    0.36  0.16  0.25   7  7      2.89  0.13  0.23   -0.80  0.15  0.26   1  1      3.91  0.11  0.20    0.33  0.15  0.25   9  8      0.51  0.17  0.23    0.12  0.14  0.23   5  5      2.49  0.15  0.20    0.25  0.14  0.22  17 16      1.24  0.15  0.19    0.02  0.15  0.23   3  2      2.53  0.15  0.23   -0.36  0.14  0.23   3  3      2.03  0.15  0.21   -0.58  0.14  0.23   5  3      4.72  0.14  0.19    0.00  0.14  0.22  55 54      2.32  0.15  0.22    0.18  0.14  0.24   6  6      3.60  0.16  0.27    0.13  0.15  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.72  0.15  0.22    0.53  0.14  0.24   3  2      0.02  0.18  0.23    0.56  0.15  0.23   6  6      0.71  0.17  0.22    0.89  0.14  0.23   3  2      0.53  0.14  0.19    1.18  0.14  0.22   2  2     -0.43  0.18  0.22    1.18  0.14  0.23   6  5     -0.14  0.18  0.24    1.06  0.15  0.25  10  8      0.02  0.18  0.23    1.30  0.15  0.23   9  9     -0.27  0.18  0.23    1.50  0.15  0.24   8  3     -0.61  0.18  0.22    1.66  0.15  0.23   4  4
               HD20      113  5445   100  2.39  0.22  0.32 -1.58  0.14  0.20  2.30  0.11  0.21      6.47  0.18  0.24   -0.34  0.17  0.27   1  1      6.17  0.11  0.18    0.17  0.15  0.24   7  6      4.07  0.12  0.23   -0.82  0.14  0.25   1  1      5.02  0.12  0.20    0.24  0.15  0.25   9  9      1.71  0.18  0.23    0.12  0.14  0.24   5  5      3.64  0.15  0.21    0.20  0.14  0.22  17 17      2.39  0.15  0.20   -0.03  0.14  0.23   3  3      3.87  0.17  0.26   -0.22  0.15  0.24   3  3      3.45  0.14  0.19   -0.36  0.14  0.23   5  5      5.92  0.14  0.20    0.00  0.14  0.22  55 54      3.42  0.15  0.22    0.08  0.14  0.24   6  6      4.58  0.18  0.28   -0.09  0.16  0.25   4  4      3.03  0.13  0.20    0.01  0.14  0.25   2  2      1.51  0.15  0.22    0.12  0.14  0.24   3  2      0.62  0.17  0.22   -0.04  0.14  0.23   6  6      1.40  0.17  0.22    0.38  0.14  0.24   3  2      0.86  0.15  0.20    0.31  0.13  0.23   2  2     -0.08  0.17  0.22    0.33  0.14  0.24   6  5      0.25  0.18  0.24    0.25  0.14  0.26  10  5      0.26  0.18  0.23    0.34  0.14  0.24   9  8      0.01  0.18  0.23    0.58  0.14  0.25   8  2     -0.27  0.18  0.23    0.80  0.14  0.24   4  4
           HD221170       51  4648   100  1.57  0.24  0.34 -2.14  0.15  0.20  2.22  0.11  0.21      5.68  0.22  0.27   -0.55  0.17  0.26   1  1      5.72  0.11  0.18    0.30  0.16  0.24   7  5      3.94  0.13  0.23   -0.37  0.16  0.26   1  1      4.48  0.12  0.21    0.27  0.15  0.25   9  9      1.24  0.17  0.22    0.22  0.14  0.23   5  5      3.10  0.16  0.22    0.24  0.14  0.23  17 17      1.93  0.17  0.21    0.08  0.14  0.22   3  3      3.29  0.22  0.30   -0.23  0.17  0.26   3  3      3.03  0.15  0.20   -0.20  0.14  0.23   5  5      5.35  0.15  0.20    0.00  0.14  0.22  55 53      3.05  0.18  0.27    0.29  0.15  0.25   6  6      3.94  0.19  0.29   -0.16  0.17  0.26   4  4      2.61  0.13  0.20    0.16  0.15  0.25   2  2      0.77  0.15  0.22   -0.05  0.15  0.24   3  1      0.04  0.18  0.23   -0.04  0.14  0.24   6  6      0.80  0.17  0.22    0.35  0.14  0.24   3  2      0.35  0.15  0.20    0.38  0.15  0.23   2  1     -0.60  0.17  0.22    0.39  0.14  0.24   6  5     -0.25  0.17  0.24    0.32  0.14  0.26  10  5     -0.16  0.18  0.23    0.49  0.14  0.24   9  7     -0.47  0.18  0.23    0.67  0.14  0.24   8  1     -0.80  0.17  0.22    0.85  0.14  0.24   4  4
        HE0005-0002       67  4726   100  1.58  0.25  0.35 -3.09  0.11  0.17  1.82  0.11  0.21      5.50  0.20  0.27    0.17  0.20  0.29   1  1      4.93  0.11  0.18    0.42  0.15  0.23   7  7      2.97  0.15  0.26   -0.43  0.18  0.27   1  1      3.65  0.11  0.20    0.36  0.14  0.24   9  8      0.20  0.17  0.22    0.09  0.16  0.25   5  4      2.13  0.16  0.21    0.18  0.16  0.24  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.92  0.16  0.22   -0.68  0.16  0.24   3  3      2.00  0.16  0.35   -0.33  0.24  0.37   5  3      4.44  0.11  0.17    0.00  0.14  0.22  55 53      2.03  0.15  0.22    0.17  0.16  0.25   6  6      3.26  0.18  0.28    0.08  0.18  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.10  0.18  0.27    0.19  0.18  0.28   3  2     -0.78  0.18  0.23    0.04  0.17  0.26   6  6     -0.02  0.18  0.22    0.45  0.17  0.26   3  2     -0.91  0.21  0.28    0.02  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0008-3842       67  4327   100  0.65  0.23  0.33 -3.35  0.11  0.18  2.39  0.12  0.22      4.17  0.21  0.28   -0.89  0.22  0.30   1  1      4.58  0.13  0.19    0.33  0.15  0.24   7  5      2.30  0.17  0.26   -0.84  0.19  0.27   1  1      2.98  0.12  0.20   -0.05  0.15  0.26   9  6     -0.15  0.15  0.20    0.01  0.15  0.24   5  4      1.66  0.15  0.20   -0.03  0.15  0.24  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.64  0.19  0.25   -0.70  0.19  0.26   3  3      1.22  0.11  0.24   -0.84  0.14  0.24   5  3      4.17  0.11  0.18    0.00  0.14  0.22  55 52      1.53  0.17  0.23   -0.06  0.18  0.26   6  6      2.75  0.27  0.32   -0.16  0.26  0.31   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -1.86  0.18  0.26   -1.50  0.18  0.27   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -2.95  0.18  0.22   -1.75  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0017-4838       42  5149   100  2.23  0.29  0.39 -3.23  0.13  0.18  1.81  0.14  0.24      4.87  0.25  0.31   -0.29  0.24  0.33   1  1      4.60  0.12  0.19    0.25  0.16  0.24   7  3      2.35  0.16  0.23   -0.89  0.17  0.26   1  1      3.40  0.12  0.20    0.27  0.15  0.25   9  3      0.17  0.18  0.23    0.23  0.16  0.25   5  3      2.15  0.17  0.22    0.36  0.15  0.24  17  8     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.06  0.16  0.21   -0.37  0.15  0.23   3  3      1.58  0.17  0.21   -0.58  0.16  0.23   5  3      4.27  0.13  0.18    0.00  0.14  0.22  55 34      2.01  0.15  0.22    0.32  0.15  0.25   6  4      3.18  0.18  0.24    0.17  0.17  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.42  0.22  0.31    0.68  0.20  0.30   3  2     -0.65  0.19  0.24    0.34  0.17  0.25   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.88  0.20  0.24   -0.78  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
